CATEGORY,SUB CATEGORY,Rule
Fans,Ceiling Fan,Fans
Fans,Exhaust Fan,Fans
Fans,Fans,Fans
Fans,Pedestal Fan,Fans
Fans,Table Fan,Fans
Fans,Wall Mounted Fan,Fans
Housewires,Housewires,Housewire
LED Batten,LED Batten,LED
LED Bulb,LED Bulb,LED
LED DL_PL,LED DL_PL,LED
LED Spotlight,LED Spotlight,LED
LED Overall,LED Overall,LED_all
Switches,Modular Switches,Modular Switches
Switches,Non Modular Switches,Non Modular Switches
Grinders,Grinders,Grinder
Grinders,MG,Grinder
Grinders,JMG,Grinder
Gas Stove,Gas Stove,Gas Stove
Gas Stove,GT,Gas Stove
Gas Stove,SS,Gas Stove
IC,IC,IC
NSC,NSC,NSC
OTG,OTG,OTG
Pressure Cookers,Pressure Cookers,PC
Rice Cookers,Rice Cookers,Rice Cooker
Room Cooler,Room Cooler,Air Cooler
Water Heater,Instant Water Heater,Water Heaters
Water Heater,Storage Water Heater,Water Heaters
Water Heater,Water Heater,Water Heaters
Wet Grinder,Wet Grinder,Wet Grinder
